model,class_name,support,precision,recall,f1,fpr,fnr
Logistic Regression,Normal,68014,0.9945482866043613,0.9951039491869321,0.99482604030397,0.05362046538517127,0.004896050813067898
Logistic Regression,Blackhole,2010,0.6565047855370436,0.9213930348258706,0.7667149658455807,0.013287988700410022,0.07860696517412935
Logistic Regression,Grayhole,2919,0.8136986301369863,0.6104830421377184,0.6975924838520259,0.0056655650290221345,0.3895169578622816
Logistic Regression,Flooding,662,0.9029733959311425,0.8716012084592145,0.887009992313605,0.0008347807354148995,0.1283987915407855
Logistic Regression,TDMA,1328,0.9675060926076361,0.8968373493975904,0.9308323563892146,0.0005434413423001155,0.10316265060240964
Decision Tree,Normal,68014,0.9987022198077474,0.9730496662451849,0.9857090727653206,0.012429541841306548,0.026950333754815186
Decision Tree,Blackhole,2010,0.9588974854932302,0.9865671641791045,0.9725355566454145,0.001165613043895616,0.013432835820895522
Decision Tree,Grayhole,2919,0.6051511281396339,0.9739636861939021,0.7464881186818959,0.02575888021773544,0.02603631380609798
Decision Tree,Flooding,662,0.9068493150684932,1.0,0.9511494252873562,0.0009155659678744059,0.0
Decision Tree,TDMA,1328,0.9854700854700855,0.8682228915662651,0.923138510808647,0.00023096257047754907,0.13177710843373494
Random Forest,Normal,68014,0.9982065944404428,0.9983973887728997,0.9983019824905727,0.017632605867899987,0.0016026112271003029
Random Forest,Blackhole,2010,0.980635551142006,0.9825870646766169,0.981610337972167,0.0005348106907285767,0.017412935323383085
Random Forest,Grayhole,2919,0.9768392370572208,0.9825282631038027,0.9796754910333049,0.0009442608381703558,0.017471736896197326
Random Forest,Flooding,662,0.922425952045134,0.9879154078549849,0.9540481400437637,0.0007405312975454753,0.012084592145015106
Random Forest,TDMA,1328,0.9847634322373697,0.9246987951807228,0.9537864077669903,0.00025813463759255485,0.07530120481927711
LightGBM,Normal,68014,0.9985414149748063,0.996486017584615,0.9975126574826327,0.014308426073131956,0.0035139824153850676
LightGBM,Blackhole,2010,0.9783037475345168,0.9870646766169154,0.9826646854878652,0.0006033761638989071,0.012935323383084577
LightGBM,Grayhole,2919,0.9771876064010896,0.9832134292565947,0.980191256830601,0.0009303746493737329,0.016786570743405275
LightGBM,Flooding,662,0.9186535764375876,0.9894259818731118,0.9527272727272728,0.0007809239137752285,0.010574018126888218
LightGBM,TDMA,1328,0.8986241853729182,0.9344879518072289,0.9162052417866372,0.0019020446980504042,0.06551204819277108
CatBoost,Normal,68014,0.9986967789707516,0.9915164524950746,0.9950936630785235,0.012718600953895072,0.008483547504925457
CatBoost,Blackhole,2010,0.9712475633528265,0.9915422885572139,0.9812900049236829,0.0008090725834098981,0.00845771144278607
CatBoost,Grayhole,2919,0.9001256281407035,0.9818430969510106,0.939210224479764,0.004415808037326076,0.01815690304898938
CatBoost,Flooding,662,0.9006802721088435,1.0,0.9477451682176092,0.0009828869949239946,0.0
CatBoost,TDMA,1328,0.8629088378566457,0.9337349397590361,0.8969258589511753,0.002676448610828069,0.06626506024096386
XGBoost,Normal,68014,0.997957624379206,0.9986032287470227,0.9982803221823741,0.020089608324902444,0.001396771252977328
XGBoost,Blackhole,2010,0.9777777777777777,0.9850746268656716,0.9814126394052044,0.0006170892585329732,0.014925373134328358
XGBoost,Grayhole,2919,0.9801029159519725,0.9787598492634464,0.9794309221803222,0.000805398950204127,0.021240150736553613
XGBoost,Flooding,662,0.9326500732064422,0.9622356495468278,0.9472118959107807,0.0006193534488562158,0.0377643504531722
XGBoost,TDMA,1328,0.9824281150159745,0.9262048192771084,0.9534883720930234,0.00029889273826506354,0.07379518072289157
